,username,date,likes,retweets,replies,language,source,content
0,Miketherealakin,2023-05-15 17:33:17+00:00,0,0,0,en,,"When She Pays The Bill 😳

#whopays #firstdate #dating https://t.co/QyLk7wlzRF"
1,MediaTLF,2023-05-15 17:30:00+00:00,0,0,0,en,,There you are… the old and modern woman. Are you a sweet old grannie who knits scarves and mittens for her grandkids? Available on https://t.co/9Ln9k87Mug #dating #maturewoman #princefrog #romance https://t.co/TCLLCVbTrr
2,theprofilepros,2023-05-15 17:29:24+00:00,0,0,0,en,,"Here are 10 surprising facts about online dating profiles 

https://t.co/lUGe4w9TOv  

#datingtips #dating #relationships #datingadvice"
3,AnitaMura360202,2023-05-15 17:26:22+00:00,0,0,0,und,,"#Riyadh
#dating 
#massage 
#0597461601 https://t.co/z4EK0uV1PF"
4,AnitaMura360202,2023-05-15 17:25:18+00:00,0,0,0,und,,"#Riyadh
#dating
#massage
#0597461601 https://t.co/inUZv5dcUk"
5,AnitaMura360202,2023-05-15 17:24:26+00:00,0,0,0,und,,"#Riyadh
#dating
#massage 
#0597461601 https://t.co/6CR0zJuhJD"
6,EliteMatchNewP,2023-05-15 17:21:29+00:00,0,0,0,en,,"Dating in the modern world

Elite Connections International has amazing clients that are serious about finding the right person.

Contact the Elite Connections International at 800-923-4200
Website: https://t.co/UO5M4EPNlm

#matchmakingagency #dating #match https://t.co/epFYvwNJCe"
7,EliteMatchNYC,2023-05-15 17:20:40+00:00,0,0,0,en,,"Dating in the modern world

Elite Connections International has amazing clients that are serious about finding the right person.

Contact the Elite Connections International at 800-923-4200
Website: https://t.co/5Xg5HfQuca

#matchmakingagency #dating #match https://t.co/1kmeSyvzOt"
8,SelfPubShowcase,2023-05-15 17:20:11+00:00,1,0,0,en,,Do you ever wonder if you've passed up a person because you weren't ready or if you mistakenly let them go because they reminded you of an ex-lover? https://t.co/iKWZqzTyux @AuthorTHill #Relationships #Dating #Marriage
9,Matchmaker_LA,2023-05-15 17:20:05+00:00,0,0,0,en,,"Dating in the modern world

Elite Connections International has amazing clients that are serious about finding the right person.

Contact the Elite Connections International at 800-923-4200
Website: https://t.co/LrN5YVSoZ3

#matchmakingagency #dating #match https://t.co/AaglwGLBVs"
10,MatchmkerElite,2023-05-15 17:19:44+00:00,0,0,0,en,,"Dating in the modern world

Elite Connections International has amazing clients that are serious about finding the right person.

Contact the Elite Connections International at 800-923-4200
Website: https://t.co/WlE3c7tOYh

#matchmakingagency #dating #match https://t.co/f1IyiVIWAj"
11,EliteMatchBoca,2023-05-15 17:19:08+00:00,0,0,0,en,,"Dating in the modern world

Elite Connections International has amazing clients that are serious about finding the right person. 

Contact the Elite Connections International at 800-923-4200
Website: https://t.co/QPYdhT5EPa

#matchmakingagency #dating #match https://t.co/L7jPtIzbnU"
12,ETahna4215,2023-05-15 17:18:56+00:00,0,0,0,en,,"Available now 🍆🍑💦
#Exit 10, Alkhlij
#Asian girl, cute🥰 hot 🔥 and juicy 💦
#bodytobody massage💆‍♀️💆‍♂️
#Dating and happy ending 🔥
#Whatsap +966594225640 https://t.co/UuQnbom5Lg"
13,DatingMindGames,2023-05-15 17:13:55+00:00,0,0,0,en,,The most difficult part of #dating is the initial invitation.
14,PleasureCoachx,2023-05-15 17:08:05+00:00,4,0,0,en,,"#menshealth #dating

Never seen this one... 

🤔"
15,Bakocom,2023-05-15 17:05:13+00:00,0,0,0,en,,"Talk to him now! 72 from #Rockford #IL has signed up to https://t.co/svYwLgeiPe Send unlimited text, video, and voice messages. #dating #single https://t.co/54SbA2Luf9"
16,FastSeduction,2023-05-15 16:59:03+00:00,0,1,0,en,,"Practice active listening to show that you're engaged and interested in what others have to say.
#alpha #datingquotes #dating"
17,nellyshazshe,2023-05-15 16:58:07+00:00,0,0,0,und,,"#Riyadh
#Dating
#MassageFullBodyMassage
#Massage
#massagefullservice
0580936178 https://t.co/3Ly8sFEQ7X"
18,ReemDavid2,2023-05-15 16:51:56+00:00,0,0,0,en,,"For #dating &amp;#massage with happy  ending
 #khobar #dammam &amp;jubail #saudi Arabia
     0549683244 https://t.co/q97FWplOQK"
